population	contig	mean_cov	med_cov
I02	X_1	14.507400314975	14.51
I03	2L_1	15.9435170713555	15.79
I03	2R_21	15.5936113224074	15.62
I03	3L_1	15.6374652954208	15.76
I03	3R_28	15.5646611894981	15.64
I03	3R_5	6.62686274509804	6.675
I03	4_2	17.175220030349	17.45
I03	Contig119	10.7237037037037	8.7
I03	Contig79	6.28546511627907	6.57
I03	tig00057289	5.072	4.43
I03	X_1	14.9475936365919	14.98
I04	2L_1	11.5332933296121	11.46
I04	2R_21	11.458851623908	11.5
I04	3L_1	11.247198837422	11.34
I04	3R_28	11.4130951955706	11.47
I04	3R_5	4.80666666666667	3.705
I04	4_2	10.879184370258	11.04
I04	Contig119	8.00543209876543	6.58
I04	Contig79	7.0443023255814	6.78
I04	tig00057289	3.806	3.47
I04	X_1	10.8123855933171	10.9
I07	2L_1	14.0279079449251	13.93
I07	2R_21	14.0596062973976	14.19
I07	3L_1	13.7504910469299	13.8
I07	3R_28	13.9652861225219	14.08
I07	3R_5	5.05245098039216	4.785
I07	4_2	13.246437784522	13.615
I07	Contig119	10.1902469135802	7.47
I07	Contig79	7.13453488372093	6.705
I07	tig00057289	5.098	4.41
I07	X_1	13.2071905598795	13.37
I13	2L_1	15.8483179830682	15.71
I13	2R_21	15.5575515755019	15.58
I13	3L_1	15.5880705676714	15.64
I13	3R_28	15.5387721021611	15.6
I13	3R_5	7.58	6.91
I13	4_2	17.1664871016692	16.98
I13	Contig119	12.0986419753086	9.37
I13	Contig79	6.2053488372093	6.175
I13	tig00057289	4.67	4.46
I13	X_1	14.9649779745738	14.89
I16	2L_1	10.8465696809005	10.59
I16	2R_21	10.1543915819561	9.81
I16	3L_1	10.7492065201927	10.6
I16	3R_28	10.1964845508126	9.98
I16	3R_5	6.52745098039216	5.48
I16	4_2	14.6380424886191	15.11
I16	Contig119	9.08962962962963	6.06
I16	Contig79	13.1809302325581	12.175
I16	tig00057289	2.056	1.63
I16	X_1	9.67219364115673	9.4
I17	2L_1	16.4512291841102	16.27
I17	2R_21	15.9792294216629	15.98
I17	3L_1	16.1980884534867	16.24
I17	3R_28	16.0379585640293	16.07
I17	3R_5	7.91598039215686	6.985
I17	4_2	18.3789491654021	19.01
I17	Contig119	12.5644444444444	8.96
I17	Contig79	0.352209302325581	0
I17	tig00057289	5.98	6.6
I17	X_1	15.6132330586812	15.47
I22	2L_1	14.6898311470834	14.56
I22	2R_21	14.5944473641749	14.73
I22	3L_1	14.3588122192638	14.47
I22	3R_28	14.4857606715485	14.61
I22	3R_5	7.05313725490196	5.75
I22	4_2	14.2730121396055	14.595
I22	Contig119	9.28617283950617	8.27
I22	Contig79	8.80325581395349	8.955
I22	tig00057289	5.424	5.11
I22	X_1	13.7848643096798	13.92
I23	2L_1	16.1527260675412	16.1
I23	2R_21	15.9397960030427	16.08
I23	3L_1	15.9420446738887	16.01
I23	3R_28	16.0061360957314	16.13
I23	3R_5	6.02147058823529	5.585
I23	4_2	16.3728528072838	16.96
I23	Contig119	12.3571604938272	9.23
I23	Contig79	6.63081395348837	6.89
I23	tig00057289	5.956	4.82
I23	X_1	15.1838531942574	15.35
I24	2L_1	14.4161966229417	14.32
I24	2R_21	14.5104158310859	14.6
I24	3L_1	14.1548805918579	14.22
