source	population	centromere	mean_cov	med_cov
GDL	N19	cent	7.700109489	6.575
GDL	N19	eu	11.87137565	11.79
GDL	N22	cent	8.524087591	7.79
GDL	N22	eu	12.07266748	12
GDL	N23	cent	8.513613139	7.58
GDL	N23	eu	12.47314093	12.39
GDL	N25	cent	7.335985401	7.16
GDL	N25	eu	11.49429508	11.38
GDL	T04	cent	6.397007299	5.28
GDL	T04	eu	12.14206778	12.08
GDL	T05	cent	8.125510949	7
GDL	T05	eu	12.67930132	12.62
GDL	T07	cent	7.673941606	6.565
GDL	T07	eu	12.74046064	12.69
GDL	T09	cent	7.996569343	7.065
GDL	T09	eu	12.23411522	12.21
GDL	T10	cent	7.17879562	6.69
GDL	T10	eu	12.4791357	12.46
GDL	T14A	cent	8.855036496	8.15
GDL	T14A	eu	13.08942395	13.06
GDL	T22A	cent	7.758576642	6.7
GDL	T22A	eu	11.27636227	11.23
GDL	T29A	cent	7.466423358	6.65
GDL	T29A	eu	13.04244943	12.97
GDL	T30	cent	6.97	6.18
GDL	T30	eu	12.69813448	12.65
GDL	T35	cent	6.887372263	6.48
GDL	T35	eu	11.52004693	11.45
GDL	T36B	cent	6.268175182	5.415
GDL	T36B	eu	12.68377537	12.61
GDL	T39	cent	6.468138686	6.27
GDL	T39	eu	10.91646045	10.95
GDL	ZH23	cent	8.045364964	7.215
GDL	ZH23	eu	12.04480483	12.01
GDL	ZH26	cent	7.500072993	7.27
GDL	ZH26	eu	12.27031838	12.22
GDL	ZH33	cent	5.933065693	5.17
GDL	ZH33	eu	12.47417215	12.73
GDL	ZH42	cent	6.568832117	6.3
GDL	ZH42	eu	14.03273247	14.25
GDL	ZS10	cent	4.879781022	4.53
GDL	ZS10	eu	12.09066314	12.29
GDL	ZW09	cent	5.967883212	5.435
GDL	ZW09	eu	12.6475007	12.79
GDL	ZW139	cent	5.879452555	5.41
GDL	ZW139	eu	13.12272701	13.27
GDL	ZW140	cent	6.17040146	6.165
GDL	ZW140	eu	13.05021544	13.25
GDL	ZW142	cent	7.040328467	6.815
GDL	ZW142	eu	13.02560518	13.17
GDL	ZW155	cent	6.279270073	5.55
GDL	ZW155	eu	12.85056546	13.02
GDL	ZW177	cent	5.927992701	5.59
GDL	ZW177	eu	12.82745415	12.91
GDL	ZW184	cent	7.310985401	6.795
GDL	ZW184	eu	12.96063902	13.08
GDL	ZW185	cent	5.591240876	5.09
GDL	ZW185	eu	12.7591754	12.95
